"","PIP","Post Mean","Post SD","Cond.Pos.Sign","Idx"
"Sand_Percent",0.344100263262436,0.00093315330176165,0.00226042690678595,0.54775833,1
"Silt_Percent",0.982365075037332,0.00252504359022432,0.00224658065661982,1,2
"Clay_Percent",0.38230319373033,0.00103553069455,0.00230817679485217,0.95387189,3
"Moist.BD_g.per.cm3.",1,-0.0714867331170884,0.00784374154282438,0,4
"OM_Percent",0.999962843443447,0.00281545497093572,0.000537705309687757,1,5
"(Intercept)",1,0.104976554425634,NA,NA,0
