,AWC_cm.per.cm.,Sand_Percent,Silt_Percent,Clay_Percent,Moist.BD_g.per.cm3.,OM_Percent
254,0.08,94,3,3,1.58,0.8
255,0.2,39,36,25,0.9,12
258,0.17,64,27,10,1.6,3
259,0.11,85,9,6,1.58,1.5
260,0.08,96,2,2,1.55,0.8
261,0.1,95,1,4,1.54,1.8
262,0.08,94,3,3,1.5,0.8
263,0.11,87,7,6,1.51,2
264,0.11,78,16,6,1.52,2
266,0.11,87,7,6,1.51,1.5
267,0.17,64,27,9,1.38,6
269,0.11,87,7,6,1.45,1.5
270,0.11,87,7,6,1.53,1.5
271,0.17,60,19,21,1.35,1.5
272,0.2,45,30,25,1.3,3
273,0.08,94,3,3,1.59,0.8
274,0.11,86,7,7,1.51,2
275,0.08,93,3,4,1.54,0.8
276,0.08,93,3,4,1.58,0.8
277,0.08,94,3,3,1.59,0.8
278,0.08,94,3,3,1.59,0.8
279,0.08,93,3,4,1.58,0.8
280,0.11,87,7,6,1.5,1.5
281,0.08,94,2,4,1.54,0.8
282,0.1,95,1,4,1.65,1.8
283,0.08,94,3,3,1.59,0.8
284,0.08,94,3,3,1.59,0.8
285,0.1,87,7,6,1.6,2
286,0.08,93,3,4,1.55,2
287,0.08,85,9,6,1.6,1.5
288,0.07,85,9,6,1.7,0.8
289,0.21,40,38,23,1.35,3
290,0.18,63,25,12,1.35,2
291,0.2,42,43,15,1.35,2
292,0.21,14,71,15,1.3,2
293,0.15,43,41,16,1.41,1.5
294,0.12,43,38,19,1.46,1.5
295,0.15,46,42,13,1.7,1.5
296,0.15,46,42,13,1.7,1.5
297,0.21,44,45,11,1.35,1.3
298,0.11,86,7,7,1.45,0.8
299,0.15,40,42,18,1.35,2
300,0.16,40,42,18,1.35,2
301,0.18,38,44,18,1.16,1.5
302,0.19,37,44,19,1.25,3
303,0.23,26,53,21,1.3,3
304,0.23,45,41,14,1.33,3
305,0.2,43,39,18,1.35,2
306,0.2,43,39,18,1.35,2
307,0.21,43,40,18,1.35,1.5
308,0.21,43,40,18,1.35,1.5
309,0.15,46,42,13,1.7,1.5
310,0.21,44,45,11,1.35,1.3
311,0.22,44,44,13,1.3,2
312,0.21,44,45,11,1.35,1.3
313,0.15,46,42,13,1.7,1.5
314,0.21,44,45,11,1.35,1.3
315,0.21,44,45,11,1.35,1.3
316,0.07,95,1,4,1.54,0.6
317,0.07,95,1,4,1.54,0.8
318,0.07,95,1,4,1.54,0.8
319,0.07,95,1,4,1.54,0.8
320,0.08,95,1,4,1.6,0.8
321,0.14,65,27,9,1.4,2
322,0.11,86,7,8,1.3,2
323,0.17,41,42,18,1.33,2
324,0.17,41,42,18,1.33,2
325,0.19,14,69,18,1.33,2
326,0.19,14,69,18,1.33,2
327,0.15,66,26,9,1.33,2
328,0.2,63,25,12,1.5,0.8
329,0.11,87,6,7,1.45,0.8
330,0.11,87,6,7,1.45,0.8
331,0.11,87,6,7,1.45,0.8
332,0.11,87,6,7,1.45,0.8
333,0.17,65,27,9,1.5,3
334,0.11,79,16,5,1.55,1
335,0.11,86,4,10,1.45,0.8
336,0.21,42,37,21,1.35,2
337,0.21,40,38,23,1.4,3
338,0.22,44,41,15,1.6,2
339,0.16,64,27,10,1.4,2
340,0.22,42,39,19,1.49,2
341,0.2,42,39,19,1.3,1.7
342,0.12,65,27,9,1.6,1
343,0.13,65,27,9,1.45,2
344,0.17,63,26,11,1.45,1.5
345,0.1,80,16,4,1.78,2
346,0.13,68,20,12,1.4,2
347,0.21,22,56,22,1.25,2.6
348,0.21,14,68,18,1.25,2
349,0.18,11,70,19,1.16,3
350,0.19,11,70,19,1.25,3
351,0.23,26,53,21,1.3,3
352,0.22,14,69,18,1.4,2
353,0.22,14,69,18,1.4,2
354,0.22,60,27,13,1.3,1.5
355,0.2,42,42,16,1.33,2.5
356,0.2,42,42,16,1.33,3
357,0.2,45,41,14,1.33,3
358,0.19,44,41,15,1.35,2
359,0.2,45,41,14,1.33,3
360,0.19,44,41,15,1.35,2
361,0.23,45,41,14,1.33,3
362,0.21,44,41,15,1.35,2
363,0.2,43,39,18,1.35,2
364,0.2,43,39,18,1.35,2
365,0.21,43,40,18,1.35,1.5
366,0.13,64,26,10,1.35,1.5
367,0.18,64,26,10,1.35,1.5
368,0.16,65,20,15,1.35,3
369,0.11,87,7,6,1.38,1.5
370,0.08,78,16,6,1.68,0.8
371,0.08,78,16,6,1.68,0.8
375,0.11,84,9,7,1.2,1.3
376,0.12,62,30,8,1.63,1.8
377,0.22,14,69,18,1.3,3
378,0.22,14,69,18,1.3,3
379,0.14,66,20,14,1.33,2
380,0.16,64,26,10,1.3,2
381,0.16,64,26,10,1.3,2
382,0.1,78,16,6,1.4,2
383,0.12,80,12,8,1.45,1.3
384,0.12,80,12,8,1.45,1.3
385,0.2,38,40,22,1.35,2.2
386,0.21,14,71,15,1.3,2
387,0.18,11,68,21,1.2,2
388,0.21,42,39,19,1.3,1.5
389,0.22,42,39,19,1.49,2
390,0.2,42,39,19,1.3,1.7
391,0.12,65,27,9,1.6,1
392,0.13,65,27,9,1.45,2
393,0.16,62,24,14,1.43,1.5
394,0.17,64,25,11,1.4,1.5
395,0.1,80,16,4,1.78,2
396,0.13,68,20,12,1.4,2
397,0.09,87,6,7,1.45,2
398,0.18,11,70,19,1.16,3
399,0.23,26,53,21,1.3,3
400,0.21,44,45,11,1.35,1.3
401,0.21,44,41,15,1.35,2
402,0.2,45,43,12,1.5,0.8
403,0.21,44,41,15,1.35,2
404,0.2,42,42,16,1.33,2.5
405,0.2,42,42,16,1.33,3
406,0.23,45,41,14,1.33,3
407,0.21,44,41,15,1.35,2
408,0.2,45,41,14,1.33,3
409,0.19,44,41,15,1.35,2
410,0.2,45,41,14,1.33,3
411,0.19,44,41,15,1.35,2
412,0.16,65,20,15,1.35,3
413,0.11,87,7,6,1.38,1.5
414,0.08,78,16,6,1.68,0.8
415,0.08,78,16,6,1.68,0.8
419,0.11,84,9,7,1.2,1.3
420,0.11,79,16,5,1.7,2
421,0.22,32,56,12,1.33,8
422,0.22,14,69,18,1.3,3
423,0.14,66,20,14,1.33,2
424,0.16,64,26,10,1.3,2
425,0.16,64,26,10,1.3,2
426,0.14,64,27,10,1.28,2
427,0.14,64,27,10,1.28,2
428,0.1,78,16,6,1.4,2
429,0.1,78,16,6,1.4,2
430,0.11,79,16,5,1.7,2
431,0.11,84,9,7,1.2,1.3
432,0.11,79,16,5,1.7,2
433,0.11,84,9,7,1.2,1.3
434,0.22,10,68,23,1.5,3
435,0.16,64,27,10,1.4,2
436,0.2,24,50,27,1.38,5
437,0.18,63,25,12,1.3,0.5
438,0.21,43,40,17,1.35,0.5
439,0.11,82,9,9,1.45,0.5
440,0.18,61,28,12,1.3,0.5
441,0.11,82,9,9,1.45,1.5
442,0.18,61,27,12,1.3,0.5
443,0.22,19,48,34,1.15,3
444,0.17,63,26,12,1.4,0.5
445,0.11,82,9,9,1.45,0.5
446,0.11,82,9,9,1.45,0.5
447,0.11,82,9,9,1.45,0.5
448,0.11,82,9,9,1.45,0.5
449,0.14,62,26,12,1.4,2
450,0.27,44,44,12,1.35,0.8
451,0.21,44,44,13,1.35,0.5
452,0.17,62,30,8,1.4,0.5
453,0.21,44,44,13,1.35,0.5
454,0.21,44,44,13,1.35,0.5
455,0.21,41,41,18,1.35,2
456,0.21,41,41,18,1.35,2
457,0.08,78,16,6,1.68,0.8
463,0.11,82,9,9,1.45,0.5
464,0.21,46,42,13,1.35,2
466,0.18,61,28,12,1.3,0.5
467,0.11,82,9,9,1.45,0.5
468,0.11,82,9,9,1.45,1.5
469,0.14,66,24,10,1.4,0.5
470,0.14,63,26,12,1.4,0.5
471,0.13,87,7,6,1.6,1
472,0.11,82,9,9,1.45,0.5
473,0.19,11,68,21,1.29,2.5
474,0.2,21,58,21,1.35,2
475,0.2,20,49,31,1.4,2.5
476,0.18,45,42,13,1.48,1.3
477,0.14,66,19,15,1.48,0.8
478,0.18,11,68,21,1.2,2
479,0.2,11,68,21,1.38,2.5
480,0.21,44,40,16,1.25,2
481,0.17,42,37,21,1.35,1
482,0.21,11,68,21,1.25,1
483,0.22,11,68,21,1.25,1.3
484,0.21,11,68,21,1.25,1.3
485,0.1,78,16,6,1.4,2
486,0.21,11,68,21,1.25,2
487,0.17,42,37,21,1.35,1
488,0.17,42,37,21,1.35,1
489,0.18,11,68,21,1.16,3
490,0.12,71,18,11,1.45,2.3
491,0.12,65,20,15,1.43,1.3
492,0.17,18,48,34,1.3,2.2
493,0.17,18,48,34,1.38,1.3
494,0.16,17,48,35,1.3,1.3
495,0.2,43,39,18,1.35,2
496,0.2,43,39,18,1.35,2
497,0.22,20,54,26,1.36,1.8
498,0.2,25,52,23,1.25,1.8
499,0.22,10,69,21,1.38,3
500,0.19,11,68,21,1.29,2.5
501,0.18,11,68,21,1.2,2
502,0.2,11,68,21,1.38,2.5
503,0.22,11,68,21,1.25,1.3
504,0.21,11,68,21,1.25,2
505,0.22,11,68,21,1.25,2
506,0.22,12,69,19,1.2,2
507,0.21,22,56,22,1.25,2.6
508,0.17,18,48,34,1.3,2.2
509,0.21,29,53,18,1.2,1.7
510,0.2,25,52,23,1.25,1.8
511,0.2,16,62,22,1.27,1.4
512,0.21,11,68,21,1.25,1.3
513,0.19,12,70,18,1.2,2
514,0.19,16,60,24,1.25,0.9
515,0.18,12,64,24,1.2,1.8
516,0.19,21,56,23,1.25,1.2
517,0.19,14,66,20,1.2,2
518,0.21,11,68,21,1.25,1.3
519,0.13,85,9,6,1.88,1
520,0.22,37,42,21,1.35,2.5
521,0.2,38,40,22,1.35,2.2
522,0.18,35,37,28,1.45,2.5
523,0.14,68,20,13,1.55,1
524,0.22,11,68,21,1.35,2.5
525,0.1,39,34,27,1.15,2
526,0.14,66,19,15,1.48,0.8
527,0.18,11,68,21,1.2,2
528,0.2,11,68,21,1.38,2.5
529,0.21,44,40,16,1.25,2
530,0.21,11,68,21,1.25,1
531,0.22,11,68,21,1.25,1.3
532,0.17,11,68,21,1.28,2
533,0.21,11,68,21,1.25,2
534,0.17,42,37,21,1.35,1
535,0.12,66,19,15,1.43,1.3
536,0.18,11,68,21,1.16,3
537,0.16,5,45,50,1.35,0.8
538,0.12,71,18,11,1.45,2.3
539,0.16,22,28,50,1.3,1.3
540,0.17,18,48,34,1.3,2.2
541,0.17,26,29,45,1.38,1.3
542,0.2,43,39,18,1.35,2
543,0.22,20,54,26,1.36,1.8
544,0.2,25,52,23,1.25,1.8
545,0.2,16,62,22,1.27,1.4
546,0.19,16,60,24,1.25,0.9
547,0.18,12,64,24,1.2,1.8
548,0.22,10,69,21,1.38,3
549,0.18,11,68,21,1.2,2
