,AWC_cm.per.cm.,Sand_Percent,Silt_Percent,Clay_Percent,Moist.BD_g.per.cm3.,OM_Percent
710,0.13,66,20,14,1.45,0.8
711,0.13,66,20,14,1.45,0.8
712,0.18,40,38,23,1.42,2
713,0.18,40,38,23,1.42,2
714,0.18,35,34,31,1.4,2
715,0.18,35,34,31,1.4,2
716,0.17,42,37,21,1.41,2.5
717,0.09,83,7,10,1.62,0.6
719,0.13,66,20,14,1.49,0.8
720,0.13,66,20,14,1.49,0.8
721,0.13,66,20,14,1.49,0.8
722,0.13,66,20,14,1.49,0.8
723,0.18,51,30,19,1.48,1.5
724,0.15,45,33,22,1.44,1
725,0.15,22,28,50,1.38,2
726,0.14,39,36,25,1.46,1
727,0.18,51,30,19,1.48,1.5
728,0.13,42,37,21,1.38,0.6
729,0.2,16,50,34,1.34,2
730,0.2,16,50,34,1.34,2
731,0.18,42,35,23,1.35,1.8
732,0.18,42,35,23,1.35,1.8
734,0.15,40,38,23,1.48,2
735,0.18,40,38,23,1.43,2
736,0.15,40,38,23,1.48,2
737,0.18,40,38,23,1.43,2
738,0.13,65,20,15,1.48,0.8
739,0.15,41,37,22,1.43,1.5
740,0.18,35,38,27,1.35,1.5
741,0.15,41,37,22,1.43,1.5
742,0.13,66,20,14,1.48,0.8
743,0.15,7,62,31,1.48,1.3
744,0.18,61,27,13,1.45,0.8
745,0.15,7,62,31,1.48,1.3
746,0.17,62,24,14,1.43,0.8
747,0.19,38,33,29,1.4,2.5
748,0.19,38,33,29,1.4,2.5
749,0.19,38,33,29,1.4,2.5
750,0.18,35,34,31,1.45,2
751,0.13,42,37,21,1.38,0.6
752,0.17,62,24,14,1.43,0.8
753,0.17,7,62,31,1.45,1.3
754,0.17,35,37,28,1.45,2.5
755,0.15,35,38,28,1.23,3.5
756,0.12,63,25,12,1.45,0.6
757,0.09,83,7,10,1.62,0.6
758,0.13,66,20,14,1.49,0.8
759,0.13,66,20,14,1.49,0.8
760,0.13,66,20,14,1.49,0.8
761,0.13,66,20,14,1.49,0.8
762,0.12,50,34,16,1.5,2.5
763,0.13,66,20,14,1.49,0.8
764,0.18,51,30,19,1.48,1.5
765,0.15,45,33,22,1.44,1
766,0.18,34,37,29,1.35,1.5
767,0.13,34,35,31,1.54,2.8
768,0.16,35,34,31,1.38,2
769,0.16,35,34,31,1.38,2
770,0.16,35,34,31,1.38,2
771,0.17,35,35,30,1.36,2.5
772,0.15,45,33,22,1.44,1
773,0.13,66,20,14,1.49,0.8
774,0.15,37,40,23,1.43,0.8
775,0.15,37,40,23,1.43,0.8
776,0.15,37,40,23,1.43,0.8
777,0.15,37,40,23,1.43,0.8
778,0.1,45,43,12,1.53,2
779,0.15,39,37,25,1.43,0.8
780,0.16,35,34,31,1.38,2
781,0.15,31,31,38,1.5,1.3
782,0.14,22,28,50,1.35,0.8
783,0.18,35,34,31,1.4,1.5
784,0.18,35,34,31,1.4,1.5
785,0.14,22,28,50,1.45,1.3
786,0.16,35,34,31,1.4,0.8
787,0.16,60,26,14,1.43,0.8
788,0.13,51,30,19,1.43,2.5
789,0.17,49,31,20,1.43,2.5
790,0.14,68,16,16,1.45,0.9
791,0.14,68,16,16,1.45,0.9
792,0.18,43,29,28,1.5,2.5
793,0.18,38,34,28,1.5,1.5
794,0.14,50,29,21,1.46,0.9
795,0.14,50,29,21,1.46,0.9
796,0.1,45,33,22,1.58,0.2
797,0.14,50,29,21,1.52,0.9
798,0.15,45,33,22,1.48,3.9
799,0.14,50,29,21,1.43,0.6
800,0.15,45,33,22,1.48,3.9
801,0.17,35,37,28,1.45,2.5
802,0.17,35,37,28,1.45,2.5
803,0.18,35,31,34,1.45,2
804,0.14,44,37,19,1.4,2.9
805,0.16,20,34,46,1.16,2.4
806,0.17,33,32,35,1.38,2.5
807,0.16,7,33,60,1.14,1.6
808,0.18,31,45,24,1.34,3.5
809,0.13,66,20,14,1.49,0.8
810,0.13,66,20,14,1.49,0.8
811,0.18,51,30,19,1.48,1.5
812,0.15,45,33,22,1.44,1
813,0.13,66,20,14,1.43,0.8
814,0.13,65,22,14,1.43,0.8
815,0.15,45,33,22,1.48,3.9
816,0.13,34,35,31,1.54,2.8
817,0.13,34,35,31,1.54,2.8
818,0.18,38,33,29,1.54,1.5
